Date,Open,High,Low,Close,Volume
2021-09-22,76.86,76.86,71.5,76.86,13244500
2021-09-23,80.0,80.0,71.5,76.69,6068500
2021-09-24,75.7,78.9,73.56,76.87,1054000
2021-09-27,76.1,76.98,74.0,74.77,566500
2021-09-28,75.0,75.5,72.8,74.37,912500
2021-09-29,74.05,74.12,70.51,71.89,763500
2021-09-30,71.02,72.44,70.02,72.07,637000
2021-10-01,72.0,73.0,70.51,72.76,367000
2021-10-04,72.25,73.0,70.5,72.7,328000
2021-10-05,72.5,72.8,70.5,71.0,419500
2021-10-06,71.45,71.7,70.75,71.09,372500
2021-10-07,72.0,72.0,70.7,70.75,198500
2021-10-08,70.75,71.0,70.26,70.78,167500
2021-10-11,70.25,70.25,66.5,67.89,158000
2021-10-12,68.5,68.5,65.1,67.42,212500
2021-10-13,68.15,68.15,66.5,66.56,132000
2021-10-14,65.52,70.0,65.52,69.84,266000
2021-10-15,70.88,70.88,68.16,69.07,119500
2021-10-18,66.11,69.6,66.0,67.83,162500
2021-10-20,65.8,66.57,61.93,66.55,396500
2021-10-21,67.49,68.99,65.75,67.61,652500
2021-10-22,67.79,69.0,64.7,65.59,472000
2021-10-25,65.84,65.84,62.55,63.75,63500
2021-10-26,63.0,63.5,60.66,62.43,215500
2021-10-27,63.5,66.0,61.6,61.7,169000
2021-10-28,61.7,62.99,60.75,62.15,70500
2021-10-29,60.92,64.5,60.92,63.03,78500
2021-11-01,63.11,67.0,62.5,65.95,3992000
2021-11-02,67.5,68.2,65.95,66.65,8196000
2021-11-03,67.39,68.0,66.5,66.65,1005500
2021-11-04,66.4,67.0,65.6,66.52,1678000
2021-11-05,66.12,66.85,65.16,65.94,1830500
2021-11-08,66.15,66.35,64.7,65.8,3578000
2021-11-09,65.95,66.24,63.4,64.87,1001500
2021-11-10,64.85,65.79,64.1,64.93,388500
2021-11-11,65.0,65.75,64.5,64.85,322000
2021-11-12,64.02,64.48,63.03,63.58,279000
2021-11-15,63.45,63.45,61.81,62.03,124500
2021-11-16,62.46,62.46,61.4,62.1,344000
2021-11-17,61.56,62.8,61.01,61.95,535000
2021-11-18,62.02,66.0,61.76,64.43,705500
2021-11-19,64.51,64.51,63.7,64.09,99000
2021-11-22,63.1,63.9,62.0,62.25,41500
2021-11-23,62.0,62.2,60.0,60.03,106000
2021-11-24,58.72,60.0,57.66,59.33,278500
2021-11-25,59.99,62.74,58.11,59.97,184000
2021-11-26,60.0,61.0,58.0,59.98,630000
2021-11-29,59.99,64.44,58.65,62.9,443000
2021-11-30,63.0,64.5,58.21,59.92,563500
2021-12-01,60.5,63.06,59.92,62.43,473500
