Date,Open,High,Low,Close,Volume
2018-01-01,529.0,529.0,525.05,525.05,1950
2018-01-02,525.5,530.0,520.0,526.0,9200
2018-01-03,521.69,526.0,520.0,521.05,14200
2018-01-04,521.0,529.99,521.0,529.56,2300
2018-01-05,531.75,535.05,526.0,534.67,3100
2018-01-08,539.0,554.1,532.0,543.34,9850
2018-01-09,540.0,546.0,540.0,545.0,2450
2018-01-10,540.0,546.25,540.0,544.81,2700
2018-01-11,543.5,548.5,543.5,545.57,1300
2018-01-12,544.0,545.0,540.0,541.1,2600
2018-01-15,535.0,550.0,535.0,541.01,1650
2018-01-16,540.0,545.0,539.0,544.62,400
2018-01-17,541.0,551.0,541.0,550.12,3450
2018-01-18,559.98,565.0,559.98,563.63,8250
2018-01-19,552.02,564.99,550.0,560.27,1350
2018-01-22,564.99,575.0,564.99,570.67,6000
2018-01-23,562.55,579.95,562.55,579.24,300
2018-01-24,590.82,590.82,574.3,580.0,2700
2018-01-25,571.3,580.0,571.3,580.0,850
2018-01-26,571.5,571.5,565.0,567.78,1550
2018-01-29,570.0,570.5,570.0,570.5,150
2018-01-30,566.01,566.01,541.98,548.5,18650
2018-01-31,542.0,543.0,542.0,543.0,500
2018-02-01,545.0,559.85,545.0,551.0,1700
2018-02-02,555.0,555.0,549.0,549.0,650
2018-02-06,545.55,550.0,541.0,547.0,1100
2018-02-07,550.0,552.99,547.0,550.22,1750
2018-02-08,554.45,555.0,551.0,551.0,1800
2018-02-09,548.45,564.46,545.0,562.28,3650
2018-02-12,562.0,567.0,545.0,559.0,2300
2018-02-13,560.0,570.0,560.0,568.53,2100
2018-02-14,565.0,575.0,556.0,556.0,2400
2018-02-15,555.0,565.87,547.66,549.0,900
2018-02-16,555.0,556.0,550.13,556.0,2650
2018-02-19,550.0,555.0,548.05,550.0,700
2018-02-21,542.0,542.0,542.0,542.0,300
2018-02-22,540.0,550.0,540.0,549.95,600
2018-02-23,0.0,549.95,549.95,549.95,1300
2018-02-26,541.8,542.0,541.8,541.83,1750
2018-02-27,545.5,551.0,545.1,546.4,650
2018-02-28,549.0,549.0,549.0,549.0,200
2018-03-01,546.02,555.0,546.0,555.0,700
2018-03-02,546.68,546.68,546.68,546.68,150
2018-03-05,541.0,554.0,540.0,540.0,1350
2018-03-06,539.0,540.55,539.0,540.0,2100
2018-03-07,540.0,540.1,540.0,540.01,2500
2018-03-08,540.0,540.0,535.0,535.84,1550
2018-03-09,539.0,539.0,531.0,537.88,7900
2018-03-12,539.9,540.0,530.02,530.02,2100
2018-03-13,539.99,540.5,535.0,540.0,1350
2018-03-14,543.0,543.0,543.0,543.0,50
2018-03-15,542.0,542.95,542.0,542.5,1250
2018-03-16,540.0,545.75,540.0,545.7,600
2018-03-19,545.9,549.98,545.9,549.98,550
2018-03-20,549.0,549.0,549.0,549.0,200
2018-03-21,545.0,545.0,545.0,545.0,1000
2018-03-22,546.0,546.01,543.0,543.0,1450
2018-03-26,545.0,545.0,545.0,545.0,100
2018-03-27,545.0,550.0,545.0,550.0,500
2018-03-28,554.0,554.0,551.0,551.2,1750
2018-03-29,555.9,562.22,555.04,555.04,1550
2018-03-30,555.01,556.0,551.0,551.0,1050
2018-04-02,553.5,558.0,553.5,558.0,950
2018-04-03,550.01,560.0,550.01,558.71,1350
2018-04-04,555.0,570.0,555.0,567.0,2400
2018-04-05,565.0,570.0,565.0,570.0,350
2018-04-06,572.0,572.0,572.0,572.0,400
2018-04-09,565.0,575.0,565.0,571.0,1100
2018-04-10,571.0,578.0,571.0,577.9,1700
2018-04-11,589.88,599.0,587.0,587.05,3200
2018-04-12,588.01,592.98,585.0,592.98,2300
2018-04-13,596.96,596.96,587.0,594.58,500
2018-04-16,588.0,590.0,580.0,587.6,2100
