Date,Open,High,Low,Close,Volume
2018-01-01,29.88,29.88,28.72,29.16,14500
2018-01-02,29.0,29.64,29.0,29.34,49500
2018-01-03,29.5,29.97,28.8,29.01,40000
2018-01-04,28.51,30.46,28.2,29.32,302500
2018-01-05,29.38,30.35,29.38,29.46,47500
2018-01-08,30.0,30.93,30.0,30.93,41500
2018-01-09,32.47,32.47,32.1,32.47,227500
2018-01-10,33.5,34.09,33.3,34.09,111500
2018-01-11,35.75,35.79,34.5,35.72,376500
2018-01-12,36.0,37.3,33.94,36.26,243000
2018-01-15,36.0,37.5,34.65,34.76,137000
2018-01-16,34.14,36.0,34.14,34.59,50000
2018-01-17,35.45,35.45,34.75,35.02,42500
2018-01-18,36.0,36.0,34.0,34.09,125500
2018-01-19,34.0,35.01,34.0,34.02,83500
2018-01-22,34.99,35.5,34.5,34.62,60000
2018-01-23,34.5,34.5,33.5,33.86,95500
2018-01-24,34.0,34.79,33.21,33.69,102500
2018-01-25,33.5,33.64,33.05,33.4,21500
2018-01-26,32.66,33.45,32.25,32.6,50500
2018-01-29,32.1,32.1,31.0,31.29,37500
2018-01-30,31.4,31.89,29.91,30.11,144000
2018-01-31,31.2,31.61,30.0,31.5,167000
2018-02-01,31.96,33.0,31.96,32.16,131500
2018-02-02,31.7,33.0,31.7,32.33,56000
2018-02-06,31.51,31.89,31.0,31.41,68500
2018-02-07,31.8,31.9,30.3,30.48,99500
2018-02-08,30.26,32.0,30.2,32.0,154000
2018-02-09,33.49,33.6,32.5,32.89,310000
2018-02-12,33.94,33.94,31.58,32.02,66500
2018-02-13,31.6,32.52,30.81,31.12,92000
2018-02-14,30.65,31.49,30.15,30.8,34000
2018-02-15,30.35,30.35,29.5,29.81,85000
2018-02-16,29.85,30.49,29.5,30.13,15000
2018-02-19,30.1,30.48,29.01,29.62,29500
2018-02-20,28.7,30.5,28.69,30.5,62000
2018-02-21,31.01,31.39,30.0,30.9,89000
2018-02-22,30.0,31.4,30.0,30.9,48500
2018-02-23,31.0,32.1,30.02,30.55,70500
2018-02-26,30.5,31.45,30.0,30.79,39500
2018-02-27,30.49,31.0,30.01,30.69,61500
2018-02-28,30.32,31.0,30.26,30.94,21500
2018-03-01,31.19,32.48,31.0,32.33,206000
2018-03-02,32.4,32.4,31.33,31.38,27000
2018-03-05,31.99,32.89,31.85,31.98,165000
2018-03-06,31.58,32.3,31.0,31.26,74500
2018-03-07,31.35,31.4,30.88,30.91,25500
2018-03-08,30.17,31.0,30.17,30.61,12500
2018-03-09,30.06,30.06,30.05,30.05,2000
2018-03-12,30.98,31.25,30.98,31.25,10500
2018-03-13,30.51,31.0,30.5,31.0,26000
2018-03-14,29.65,31.69,29.65,30.38,21500
2018-03-15,30.1,31.5,30.1,30.71,23000
2018-03-16,30.99,31.0,30.51,30.84,5500
2018-03-19,30.26,30.49,30.0,30.46,20000
2018-03-20,30.69,31.98,30.69,31.79,199000
2018-03-21,32.0,33.29,31.5,32.0,132000
2018-03-22,32.24,32.29,31.99,32.13,2500
2018-03-26,32.98,32.98,31.18,32.0,9000
2018-03-27,31.45,31.7,31.05,31.14,11500
2018-03-28,31.5,31.5,31.06,31.22,35500
2018-03-29,30.8,31.3,30.1,30.44,85500
2018-03-30,30.5,30.7,30.0,30.32,156000
2018-04-02,30.69,31.83,30.25,31.52,176500
2018-04-03,32.25,33.0,32.0,32.7,323500
2018-04-04,32.75,33.48,31.62,32.13,159500
2018-04-05,32.0,33.73,31.5,33.45,280500
2018-04-06,34.0,34.6,33.2,34.27,240500
2018-04-09,34.05,34.45,32.86,33.01,115000
2018-04-10,32.51,33.5,32.51,33.06,83500
2018-04-11,33.05,34.7,33.01,33.96,255500
2018-04-12,34.44,34.5,33.52,34.0,34500
2018-04-13,33.5,34.49,33.2,33.5,24500
2018-04-16,32.6,35.0,32.6,34.54,86500
2018-04-17,34.9,35.4,34.5,34.57,166000
2018-04-18,35.0,35.0,34.0,34.19,118000
2018-04-19,35.45,35.45,33.0,33.0,116000
2018-04-20,32.86,34.3,32.5,32.69,67000
2018-04-23,32.5,33.0,32.5,32.62,13500
2018-04-24,31.61,33.8,31.61,33.27,83500
2018-04-25,32.3,33.25,32.2,32.47,35500
2018-04-26,32.01,32.65,31.0,31.16,162500
2018-04-27,31.15,31.5,31.05,31.24,23000
2018-04-30,31.1,31.7,30.52,30.93,31500
2018-05-02,32.0,32.0,29.39,29.83,130500
2018-05-03,29.95,29.95,28.7,29.38,63000
2018-05-04,29.5,29.95,29.5,29.6,8000
2018-05-07,29.7,29.8,29.5,29.51,13500
2018-05-08,29.0,29.0,28.04,28.05,88000
2018-05-09,27.51,28.0,27.3,27.85,11000
2018-05-10,27.0,28.6,27.0,27.5,98000
2018-05-11,28.0,28.28,27.52,27.52,81000
2018-05-14,28.2,28.4,26.15,26.16,95000
2018-05-15,25.55,27.25,25.05,27.08,9000
2018-05-16,26.75,27.69,26.75,27.03,20500
2018-05-17,27.68,27.68,26.4,26.49,19500
2018-05-18,26.5,26.6,26.2,26.6,8000
2018-05-21,26.15,26.5,26.15,26.2,4500
2018-05-22,25.01,26.9,24.92,26.61,202000
2018-05-23,26.7,27.14,26.3,27.14,2500
2018-05-25,26.21,27.4,26.21,27.4,1500
2018-05-28,0.0,27.4,27.4,27.4,3500
2018-05-29,27.7,27.94,27.0,27.64,4500
2018-05-30,27.0,27.9,27.0,27.9,4000
2018-05-31,27.9,28.62,27.9,28.62,7000
2018-06-01,29.24,29.24,29.24,29.24,500
2018-06-04,28.75,29.5,28.3,29.16,53000
2018-06-05,29.0,29.0,28.89,29.0,9000
2018-06-06,28.02,28.9,28.02,28.76,6500
2018-06-07,28.2,28.48,27.72,28.17,27500
2018-06-11,28.7,28.7,28.7,28.7,500
2018-06-12,28.0,28.3,27.51,27.78,9500
2018-06-13,27.11,28.4,27.01,28.4,3500
2018-06-14,28.0,28.49,27.65,28.49,4500
2018-06-19,28.8,28.8,28.8,28.8,1000
2018-06-20,28.0,28.0,27.54,28.0,17000
2018-06-21,26.8,26.8,26.6,26.6,202000
2018-06-22,26.5,26.5,25.27,25.45,149500
2018-06-25,24.51,24.51,24.18,24.48,28500
2018-06-26,24.01,24.99,24.01,24.8,5500
2018-06-27,25.35,25.35,25.35,25.35,1000
2018-06-28,25.0,25.69,25.0,25.69,11000
2018-06-29,25.0,25.2,24.42,25.2,8500
2018-07-04,24.99,24.99,24.4,24.5,18000
2018-07-05,24.0,24.5,24.0,24.31,26500
2018-07-06,23.5,24.98,23.5,24.98,1000
2018-07-09,24.81,24.81,23.74,23.76,39000
2018-07-10,22.65,24.67,22.64,24.67,1500
2018-07-11,23.8,23.8,23.8,23.8,500
2018-07-12,24.0,24.0,23.1,23.5,17000
2018-07-16,24.45,24.48,23.01,23.99,55000
2018-07-17,23.27,23.27,23.26,23.27,1000
2018-07-18,24.0,24.4,24.0,24.39,18500
2018-07-19,24.2,25.45,24.1,25.05,126000
2018-07-20,24.88,25.0,24.06,24.08,19500
2018-07-23,23.31,24.89,23.31,23.56,27500
2018-07-24,23.96,24.73,23.95,24.73,9000
2018-07-26,25.49,25.6,24.2,25.0,10000
2018-07-27,25.25,26.25,25.25,25.93,159000
2018-07-30,26.25,26.95,25.99,26.04,217000
2018-07-31,25.31,25.45,25.06,25.26,22000
2018-08-01,25.5,26.45,25.01,25.89,8500
2018-08-02,25.99,26.0,25.2,25.43,9000
2018-08-03,26.0,26.5,25.52,25.62,76000
2018-08-06,25.5,26.9,25.5,26.9,350500
2018-08-07,28.24,28.24,28.19,28.24,305500
2018-08-08,28.84,29.33,26.9,27.67,554000
2018-08-09,28.25,29.05,27.53,29.05,511000
2018-08-10,30.5,30.5,30.0,30.5,1272000
2018-08-13,32.02,32.02,30.3,32.02,1223500
2018-08-15,33.62,33.62,33.62,33.62,57000
2018-08-16,35.3,35.3,35.2,35.3,567000
2018-08-17,36.5,37.06,35.4,36.81,1729000
2018-08-20,36.98,37.74,35.5,36.98,486500
2018-08-24,35.82,38.82,35.7,38.53,857500
2018-08-27,37.6,39.7,37.0,37.32,610500
2018-08-28,37.02,37.64,35.46,35.46,160500
2018-08-29,35.35,35.4,34.0,34.06,63500
2018-08-30,34.0,35.5,33.9,34.3,160000
2018-08-31,34.84,35.35,34.2,34.6,56000
2018-09-04,35.24,35.59,34.01,34.08,64500
2018-09-05,33.11,33.48,32.6,32.75,21500
2018-09-06,33.0,34.38,31.12,31.3,318000
2018-09-07,30.51,31.85,29.8,29.85,86000
2018-09-10,29.07,30.9,28.75,30.61,33000
2018-09-11,29.9,32.14,29.75,32.07,394000
2018-09-12,31.5,32.44,30.47,30.88,190500
2018-09-13,30.01,32.42,30.01,31.23,461000
2018-09-14,31.81,31.81,30.0,30.19,25500
2018-09-17,28.81,30.0,28.69,28.95,41000
2018-09-18,29.1,30.3,29.1,30.16,236000
2018-09-19,30.2,31.0,29.2,30.23,238500
2018-09-24,31.0,31.37,29.0,29.03,41000
2018-09-25,29.5,29.5,28.55,28.75,51500
2018-09-26,28.0,29.0,27.6,29.0,9500
2018-09-27,29.0,29.1,27.55,27.55,81000
2018-09-28,27.9,27.9,26.25,26.7,60000
2018-10-01,27.0,27.9,25.8,27.31,14000
2018-10-02,28.65,28.65,28.0,28.0,1000
2018-10-03,28.0,28.7,27.55,28.55,21500
2018-10-04,28.98,28.98,27.7,27.75,18000
2018-10-05,28.99,29.13,26.37,26.37,15500
2018-10-08,27.49,27.49,25.06,25.1,130000
2018-10-09,25.5,26.3,24.03,24.44,30500
2018-10-10,24.99,25.37,23.22,24.77,18000
