Date,Open,High,Low,Close,Volume
2018-01-01,67.0,67.69,67.0,67.2,1051500
2018-01-02,67.0,70.56,67.0,70.56,51500
2018-01-03,71.5,72.65,70.0,71.55,23000
2018-01-05,71.8,72.0,71.0,71.5,14500
2018-01-08,73.5,73.5,71.51,72.0,22000
2018-01-09,70.25,71.02,70.25,70.92,65000
2018-01-10,71.0,72.5,71.0,72.0,97500
2018-01-11,72.0,75.6,72.0,74.27,217500
2018-01-12,74.45,75.5,74.4,75.18,27500
2018-01-15,72.11,74.01,72.1,73.42,57500
2018-01-16,73.5,74.8,73.0,73.56,61500
2018-01-17,74.0,76.0,74.0,74.26,24500
2018-01-18,74.4,75.0,74.0,74.71,55500
2018-01-19,74.74,77.5,74.74,76.67,194500
2018-01-22,77.0,77.01,76.0,76.83,206000
2018-01-23,77.0,77.0,76.83,76.83,1500
2018-01-24,76.0,76.01,75.99,76.0,5000
2018-01-25,79.0,79.0,73.1,74.25,321500
2018-01-26,75.0,75.0,74.55,74.55,172500
2018-01-29,78.25,78.27,77.3,78.26,455500
2018-01-30,77.11,77.35,77.11,77.25,5000
2018-01-31,76.9,76.99,76.9,76.9,101000
2018-02-01,78.1,78.1,77.25,77.25,52500
2018-02-06,76.0,76.0,75.05,75.09,2500
2018-02-07,75.55,76.2,75.5,76.2,18000
2018-02-08,76.95,77.0,76.95,76.99,28000
2018-02-09,77.0,77.0,76.25,76.25,1500
2018-02-12,72.5,79.75,72.5,77.0,54500
2018-02-13,76.6,76.6,76.6,76.6,1000
2018-02-14,76.1,76.11,73.75,74.0,12500
2018-02-15,75.0,76.4,75.0,76.0,53000
2018-02-16,73.0,74.5,72.5,74.45,7000
2018-02-20,74.5,75.0,74.5,75.0,2000
2018-02-21,75.0,75.4,75.0,75.06,37500
2018-02-22,74.9,75.1,74.9,75.01,11000
2018-02-23,75.0,76.1,72.5,75.0,124000
2018-02-26,76.5,77.05,76.5,76.68,1500
2018-02-28,76.75,77.75,75.0,75.0,2500
2018-03-02,77.25,77.25,76.0,76.83,1500
2018-03-05,77.99,78.0,77.99,78.0,1000
2018-03-07,77.0,77.0,77.0,77.0,500
2018-03-08,76.99,77.0,76.0,76.13,50000
2018-03-09,78.8,78.8,75.8,75.8,15000
2018-03-12,75.0,75.8,75.0,75.74,16500
2018-03-13,75.8,76.0,75.8,76.0,1149000
2018-03-14,76.0,76.0,75.0,75.84,106500
2018-03-15,76.0,76.99,76.0,76.0,2500
2018-03-16,75.5,76.5,75.5,76.4,46500
2018-03-19,76.0,76.0,75.25,75.25,4000
2018-03-20,76.99,79.01,76.0,76.65,666500
2018-03-21,77.49,78.9,77.0,78.45,289000
2018-03-22,78.6,80.5,77.02,80.13,1135500
2018-03-26,84.13,84.13,77.7,77.7,4000
2018-03-27,77.18,78.75,77.18,78.51,165000
2018-03-28,78.4,80.0,78.4,79.09,437000
2018-03-29,80.0,82.97,79.0,80.04,175000
2018-03-30,80.0,80.0,79.4,79.64,32500
2018-04-02,78.9,80.0,78.9,79.01,12500
2018-04-03,78.55,78.55,78.55,78.55,250000
2018-04-04,80.0,80.0,78.0,78.0,201000
2018-04-05,79.8,79.8,78.51,79.8,147000
2018-04-06,79.8,79.8,78.7,79.47,256500
2018-04-09,77.05,77.55,77.0,77.05,51000
2018-04-10,78.45,78.8,78.0,78.42,1500
2018-04-11,78.25,78.25,77.75,77.75,3000
2018-04-12,77.5,77.5,76.5,77.0,16500
2018-04-13,76.2,78.0,76.16,77.76,13500
2018-04-16,77.7,78.99,77.7,78.99,5000
2018-04-17,80.0,80.0,78.11,79.39,21500
2018-04-18,78.01,78.4,77.0,78.33,29000
2018-04-19,78.0,78.99,76.99,78.25,62500
2018-04-20,77.0,78.99,77.0,78.16,5500
2018-04-23,76.05,78.51,76.05,78.1,17000
2018-04-24,78.89,79.5,78.5,78.95,125000
2018-04-26,78.0,78.0,78.0,78.0,1000
2018-04-27,77.5,79.1,77.5,79.1,202000
2018-04-30,79.0,79.0,78.95,79.0,69000
2018-05-02,79.0,79.0,78.21,79.0,136000
2018-05-07,78.99,79.0,78.99,79.0,6500
2018-05-08,82.95,82.95,78.0,79.8,9500
2018-05-09,78.0,82.5,78.0,80.18,6500
2018-05-10,78.5,78.5,78.25,78.28,25500
2018-05-11,75.51,79.75,75.51,77.01,19500
2018-05-14,77.0,77.1,74.5,74.66,155000
2018-05-15,72.11,73.95,72.0,72.7,285500
2018-05-16,72.5,75.0,72.5,73.97,157000
2018-05-17,76.95,77.45,73.95,74.03,38500
2018-05-21,76.25,76.25,73.0,73.0,68000
2018-05-22,73.89,74.49,73.0,74.49,3000
2018-05-23,75.5,75.9,75.0,75.9,12000
2018-05-25,73.02,75.0,73.0,73.46,6500
2018-05-28,76.95,77.0,72.0,72.17,347000
2018-05-29,73.85,75.0,73.85,74.5,21500
2018-05-31,75.0,75.0,74.0,74.99,28500
2018-06-01,75.0,75.0,74.0,74.5,17000
2018-06-04,72.45,72.45,72.45,72.45,3000
2018-06-05,73.16,76.07,73.0,75.61,230000
2018-06-06,75.61,78.75,75.61,78.01,69000
2018-06-07,79.0,79.0,76.0,76.5,31500
2018-06-11,76.5,79.73,76.5,77.0,54500
2018-06-12,77.0,78.25,76.99,78.08,240500
2018-06-13,81.98,81.98,79.74,81.98,7638000
2018-06-14,84.5,86.07,84.25,86.07,3320500
2018-06-19,89.0,90.0,86.55,87.39,2967000
2018-06-20,88.0,91.75,83.05,83.84,1681500
2018-06-21,82.0,83.81,79.65,80.48,8944500
2018-06-22,81.0,81.49,79.51,80.01,6660000
2018-06-25,81.0,82.8,80.0,80.14,155000
2018-06-26,80.64,81.25,80.25,81.0,2763500
2018-06-27,81.0,82.5,81.0,82.0,1820000
2018-06-28,81.95,82.1,80.55,81.78,586000
2018-06-29,81.5,82.01,81.5,81.72,1210500
2018-07-02,81.5,81.72,81.5,81.72,9000
2018-07-03,85.8,85.8,82.0,82.5,63500
2018-07-04,82.0,82.0,81.51,82.0,138500
2018-07-05,82.5,82.5,81.5,82.0,64500
2018-07-06,81.99,83.0,81.99,82.5,28500
2018-07-09,81.01,81.01,80.0,80.5,169500
2018-07-10,80.0,81.5,80.0,81.5,80000
2018-07-11,81.5,84.25,81.5,83.5,86000
2018-07-12,84.95,87.67,84.61,87.44,967500
2018-07-13,88.0,91.81,88.0,91.81,2192000
2018-07-16,93.9,93.9,88.0,89.69,261500
2018-07-17,90.0,90.99,89.0,89.92,29500
2018-07-18,91.5,91.5,88.06,89.68,43500
2018-07-19,92.99,93.0,86.25,91.47,149500
2018-07-20,90.0,91.0,89.1,91.0,31000
2018-07-23,91.0,91.1,90.0,91.01,407500
2018-07-24,92.9,92.9,91.0,92.0,379000
2018-07-26,92.0,92.0,90.75,90.97,8500
2018-07-27,91.0,92.0,90.0,91.31,86000
2018-07-30,91.25,91.85,90.51,91.5,1985000
2018-07-31,92.0,92.0,89.7,89.94,19500
2018-08-01,88.09,90.0,88.0,89.67,536500
2018-08-02,90.0,90.0,89.25,90.0,581000
2018-08-03,90.0,91.0,88.05,90.86,35000
2018-08-06,91.0,91.0,90.86,91.0,119000
2018-08-07,92.0,92.0,91.0,91.0,205500
2018-08-08,91.0,92.5,91.0,91.63,66000
2018-08-09,91.02,91.7,91.0,91.0,94500
2018-08-10,90.06,91.25,90.06,91.23,132500
2018-08-13,90.5,91.25,90.0,90.44,404000
2018-08-15,91.0,91.0,90.0,90.5,827000
2018-08-16,91.0,91.0,90.0,90.3,5500
2018-08-17,90.5,93.5,90.5,92.75,127500
2018-08-20,92.5,92.8,92.5,92.5,25000
2018-08-24,92.5,93.05,92.5,93.0,1322500
2018-08-27,93.1,94.84,93.02,93.1,551000
2018-08-28,96.99,96.99,92.8,93.0,268000
2018-08-29,94.5,95.0,93.0,94.12,448500
