Date,Open,High,Low,Close,Volume
2018-01-01,506.0,515.13,501.0,508.5,45750
2018-01-02,505.0,518.0,505.0,513.08,82900
2018-01-03,513.0,515.0,509.0,509.39,87250
2018-01-04,509.0,510.02,508.0,509.32,104550
2018-01-05,504.0,522.0,509.0,516.37,143300
2018-01-08,518.1,542.18,518.1,542.18,184950
2018-01-09,552.99,554.9,530.0,534.38,125900
2018-01-10,532.1,549.0,532.1,544.08,130450
2018-01-11,549.98,550.0,533.5,538.2,50400
2018-01-12,535.0,539.99,530.0,535.18,10500
2018-01-15,522.0,533.0,512.0,516.42,38400
2018-01-16,527.45,527.45,519.99,521.69,33100
2018-01-17,524.99,526.6,521.0,524.9,18350
2018-01-18,530.0,532.0,520.0,525.05,59900
2018-01-19,530.0,531.76,523.06,526.2,51650
2018-01-22,533.9,552.51,530.0,551.16,162950
2018-01-23,552.0,569.96,549.1,561.62,255900
2018-01-24,563.0,573.99,563.0,566.19,100650
2018-01-25,567.0,572.0,560.0,565.01,30350
2018-01-26,568.5,588.0,568.5,578.63,257200
2018-01-29,575.0,579.0,572.0,573.56,34550
2018-01-30,578.0,578.0,566.0,568.32,32200
2018-01-31,573.0,594.5,573.0,581.42,292000
2018-02-01,584.99,587.99,568.0,571.02,65650
2018-02-02,575.0,585.0,566.0,570.31,80300
2018-02-06,561.0,568.68,560.0,565.55,40050
2018-02-07,566.0,570.0,553.26,555.24,99300
2018-02-08,555.0,555.0,544.14,545.42,61500
2018-02-09,542.0,557.0,542.0,554.9,89200
2018-02-12,564.0,564.0,550.0,550.1,52650
2018-02-13,555.0,555.0,545.07,545.78,27150
2018-02-14,545.0,550.0,531.05,537.95,95400
2018-02-15,538.0,541.0,535.0,536.03,32150
2018-02-16,538.99,540.0,535.26,536.95,4550
2018-02-19,540.0,543.0,535.25,536.2,12150
2018-02-20,540.0,540.0,530.0,536.58,9400
2018-02-21,540.0,546.0,532.0,534.41,8150
2018-02-22,525.0,536.0,520.01,534.89,12050
2018-02-23,535.05,537.0,515.0,525.34,22650
2018-02-26,526.0,533.0,525.0,527.73,8000
2018-02-27,528.0,543.0,528.0,540.02,53550
2018-02-28,549.9,567.02,544.0,560.57,254150
2018-03-01,575.01,579.9,566.0,571.0,521150
2018-03-02,573.0,573.0,564.0,567.66,56150
2018-03-05,572.0,575.0,568.0,574.25,127100
2018-03-06,578.0,581.0,565.2,569.77,36000
2018-03-07,566.5,569.0,561.2,562.76,29000
2018-03-08,563.0,567.6,555.0,556.61,19500
2018-03-09,559.97,559.97,546.2,553.09,113550
2018-03-12,561.99,562.0,555.0,557.07,16350
2018-03-13,561.0,562.0,554.0,557.3,5650
2018-03-14,557.0,560.01,552.5,557.97,14000
2018-03-15,564.0,564.0,555.0,555.52,20650
2018-03-16,555.0,558.5,552.05,555.28,12550
2018-03-19,550.6,562.0,550.5,560.54,8700
2018-03-20,560.0,566.5,559.0,560.24,18150
2018-03-21,561.0,564.35,557.0,559.13,37900
